id,key,value,type
8927996,highway,secondary,regular
8927996,maxspeed,35 mph,regular
8927996,name,Bollinger Road,regular
8927996,oneway,yes,regular
8927996,cfcc,A41,tiger
8927996,county,"Santa Clara, CA",tiger
8927996,name_base,Bollinger,tiger
8927996,name_type,Rd,tiger
8928010,highway,residential,regular
8928010,lanes,2,regular
8928010,name,Apple Tree Lane,regular
8928010,sidewalk,both,regular
8928010,surface,asphalt,regular
8928010,cfcc,A41,tiger
8928010,county,"Santa Clara, CA",tiger
8928010,name_base,Apple Tree,tiger
8928010,name_type,Ln,tiger
8928010,reviewed,no,tiger
8928098,access,private,regular
8928098,highway,service,regular
8928098,name,Marianist Way,regular
8928098,cfcc,A41,tiger
8928098,county,"Santa Clara, CA",tiger
8928098,name_base,Marianist,tiger
8928098,name_type,Way,tiger
8928098,reviewed,yes,tiger
8928098,separated,no,tiger
8928098,source,tiger_import_dch_v0.6_20070809,tiger
8928098,tlid,122991050,tiger
8928098,upload_uuid,bulk_upload.pl-9f300d22-5de3-4867-bd5e-8c2a200c22ad,tiger
8928113,highway,unclassified,regular
8928113,name,Janice Avenue,regular
8928113,sidewalk,right,regular
8928171,highway,residential,regular
8928171,name,Balsamo Drive,regular
8928171,cfcc,A41,tiger
8928171,county,"Santa Clara, CA",tiger
8928171,name_base,Balsamo,tiger
8928171,name_type,Dr,tiger
8928171,reviewed,no,tiger
8928256,highway,residential,regular
8928256,name,Shadowhill Lane,regular
8928256,sidewalk,both,regular
8928256,cfcc,A41,tiger
8928256,county,"Santa Clara, CA",tiger
8928256,name_base,Shadowhill,tiger
8928256,name_type,Ln,tiger
8928256,reviewed,no,tiger
8928305,highway,residential,regular
8928305,name,Cozette Lane,regular
8928305,sidewalk,both,regular
8928305,cfcc,A41,tiger
8928305,county,"Santa Clara, CA",tiger
8928305,name_base,Cozette,tiger
8928305,name_type,Ln,tiger
8928305,reviewed,no,tiger
8928306,highway,residential,regular
8928306,lanes,2,regular
8928306,maxspeed,25 mph,regular
8928306,name,Huntridge Lane,regular
8928306,sidewalk,both,regular
8928306,maxspeed,sign,source
8928306,cfcc,A41,tiger
8928306,county,"Santa Clara, CA",tiger
8928306,name_base,Huntridge,tiger
8928306,name_type,Ln,tiger
8928326,highway,residential,regular
8928326,name,Tulita Court,regular
8928326,sidewalk,none,regular
8928326,cfcc,A41,tiger
8928326,county,"Santa Clara, CA",tiger
8928326,name_base,Tulita,tiger
8928326,name_type,Ct,tiger
8928326,reviewed,no,tiger
8928339,highway,residential,regular
8928339,name,Pacifica Drive,regular
8928339,sidewalk,both,regular
8928339,cfcc,A41,tiger
8928339,county,"Santa Clara, CA",tiger
8928339,name_base,Pacifica,tiger
8928339,name_type,Dr,tiger
8928346,highway,residential,regular
8928346,name,Catalina Court,regular
8928346,sidewalk,both,regular
8928346,cfcc,A41,tiger
8928346,county,"Santa Clara, CA",tiger
8928346,name_base,Catalina,tiger
8928346,name_type,Ct,tiger
8928346,reviewed,no,tiger
8928386,highway,residential,regular
8928386,name,Anson Avenue,regular
8928386,sidewalk,both,regular
8928386,cfcc,A41,tiger
8928386,county,"Santa Clara, CA",tiger
8928386,name_base,Anson,tiger
8928386,name_type,Ave,tiger
8928386,reviewed,no,tiger
8928397,highway,residential,regular
8928397,name,Flintshire Street,regular
8928397,sidewalk,both,regular
8928397,cfcc,A41,tiger
8928397,county,"Santa Clara, CA",tiger
8928397,name_base,Flintshire,tiger
8928397,name_type,St,tiger
8928397,reviewed,no,tiger
8928427,highway,residential,regular
8928427,name,Shadygrove Court,regular
8928427,sidewalk,both,regular
8928427,cfcc,A41,tiger
8928427,county,"Santa Clara, CA",tiger
8928427,name_base,Shadygrove,tiger
8928427,name_type,Ct,tiger
8928427,reviewed,no,tiger
8928429,highway,residential,regular
8928429,name,Berkshire Court,regular
8928429,sidewalk,both,regular
8928430,highway,residential,regular
8928430,name,Saint Andrew's Avenue,regular
8928430,sidewalk,both,regular
8928467,highway,residential,regular
8928467,name,Byrne Court,regular
8928467,sidewalk,left,regular
8928467,cfcc,A41,tiger
8928467,county,"Santa Clara, CA",tiger
8928467,name_base,Byrne,tiger
8928467,name_type,Ct,tiger
8928479,highway,residential,regular
8928479,name,Acadia Court,regular
8928479,sidewalk,both,regular
8928479,cfcc,A41,tiger
8928479,county,"Santa Clara, CA",tiger
8928479,name_base,Acadia,tiger
8928479,name_type,Ct,tiger
8928479,reviewed,no,tiger
8928486,highway,residential,regular
8928486,name,Drea Road,regular
8928486,sidewalk,both,regular
8928522,highway,residential,regular
8928522,name,Rancho Place,regular
8928522,sidewalk,both,regular
8928554,highway,residential,regular
8928554,lanes,2,regular
8928554,maxspeed,25 mph,regular
8928554,name,Lilac Way,regular
8928554,sidewalk,both,regular
8928554,maxspeed,sign,source
8928554,cfcc,A41,tiger
8928554,county,"Santa Clara, CA",tiger
8928554,name_base,Lilac,tiger
8928554,name_type,Way,tiger
8928597,highway,residential,regular
8928597,name,Dos Palos Court,regular
8928597,sidewalk,none,regular
8928597,cfcc,A41,tiger
8928597,county,"Santa Clara, CA",tiger
8928597,name_base,Dos Palos,tiger
8928597,name_type,Ct,tiger
8928604,highway,residential,regular
8928604,maxspeed,30 mph,regular
8928604,name,Castano Drive,regular
8928604,sidewalk,both,regular
8928604,cfcc,A41,tiger
8928604,county,"Santa Clara, CA",tiger
8928604,name_base,Castano,tiger
8928604,name_type,Dr,tiger
8928612,highway,residential,regular
8928612,name,Las Ondas Court,regular
8928612,sidewalk,both,regular
8928612,cfcc,A41,tiger
8928612,county,"Santa Clara, CA",tiger
8928612,name_base,Las Ondas,tiger
8928612,name_type,Ct,tiger
8928612,reviewed,no,tiger
8928655,highway,residential,regular
8928655,name,Sullivan Drive,regular
8928655,cfcc,A41,tiger
8928655,county,"Santa Clara, CA",tiger
8928655,name_base,Dawson; Sullivan:Sullivan,tiger
8928655,name_type,Dr,tiger
8928691,highway,unclassified,regular
8928691,name,Lindy Lane,regular
8928691,sidewalk,none,regular
8928691,cfcc,A41,tiger
8928691,county,"Santa Clara, CA",tiger
8928691,name_base,Lindy,tiger
8928691,name_type,Ln,tiger
8928691,reviewed,no,tiger
8928693,highway,residential,regular
8928693,name,Lindy Lane,regular
8928693,sidewalk,both,regular
8928693,cfcc,A41,tiger
8928693,county,"Santa Clara, CA",tiger
8928693,name_base,Lindy,tiger
8928693,name_type,Ln,tiger
8928694,highway,residential,regular
8928694,name,Alicia Court,regular
8928694,sidewalk,right,regular
8928698,highway,residential,regular
8928698,lanes,2,regular
8928698,maxspeed,25 mph,regular
8928698,name,Pepper Tree Lane,regular
8928698,sidewalk,both,regular
8928698,maxspeed,California vehicle code 22352,source
8928698,cfcc,A41,tiger
8928698,county,"Santa Clara, CA",tiger
8928698,name_base,Pepper Tree,tiger
8928698,name_type,Ln,tiger
8928787,highway,residential,regular
8928787,name,Judy Avenue,regular
8928787,sidewalk,both,regular
8928787,cfcc,A41,tiger
8928787,county,"Santa Clara, CA",tiger
8928787,name_base,Judy,tiger
8928787,name_type,Ave,tiger
8928787,reviewed,no,tiger
8928814,cycleway,lane,regular
8928814,highway,primary,regular
8928814,lanes,3,regular
8928814,maxspeed,40 mph,regular
8928814,name,North De Anza Boulevard,regular
8928814,old_ref,SR 9,regular
8928814,oneway,yes,regular
8928814,sidewalk,right,regular
8928814,maxspeed,sign,source
8928814,county,"Santa Clara, CA",tiger
8928819,highway,residential,regular
8928819,name,Ramona Court,regular
8928819,sidewalk,both,regular
8928856,highway,residential,regular
8928856,name,Alcante Drive,regular
8928856,cfcc,A41,tiger
8928856,county,"Santa Clara, CA",tiger
8928856,name_base,Alcante,tiger
8928856,name_type,Dr,tiger
8928856,reviewed,no,tiger
8928881,cycleway,shared_lane,regular
8928881,highway,residential,regular
8928881,lanes,2,regular
8928881,maxspeed,25 mph,regular
8928881,name,Greenleaf Drive,regular
8928881,sidewalk,both,regular
8928881,maxspeed,sign,source
8928881,surface,asphalt,regular
8928881,cfcc,A41,tiger
8928881,county,"Santa Clara, CA",tiger
8928881,name_base,Greenleaf,tiger
8928881,name_type,Dr,tiger
8928882,highway,residential,regular
8928882,name,Greenleaf Drive,regular
8928882,sidewalk,both,regular
8928882,cfcc,A41,tiger
8928882,county,"Santa Clara, CA",tiger
8928882,name_base,Greenleaf,tiger
8928882,name_type,Dr,tiger
8928882,reviewed,no,tiger
8928940,highway,residential,regular
8928940,name,Slida Drive,regular
8928940,cfcc,A41,tiger
8928940,county,"Santa Clara, CA",tiger
8928940,name_base,Slida,tiger
8928940,name_type,Dr,tiger
8928940,reviewed,no,tiger
8928943,highway,residential,regular
8928943,name,Peralta Court,regular
8928943,name_1,Mary Knoll Court,regular
8928943,sidewalk,right,regular
8928943,cfcc,A41,tiger
8928943,county,"Santa Clara, CA",tiger
8928943,name_base,Peralta,tiger
8928943,name_base_1,Mary Knoll,tiger
8928943,name_type,Ct,tiger
8928943,name_type_1,Ct,tiger
8928943,reviewed,no,tiger
8928958,highway,residential,regular
8928958,name,Shannon Court,regular
8928958,sidewalk,both,regular
8928958,cfcc,A41,tiger
8928958,county,"Santa Clara, CA",tiger
8928958,name_base,Shannon,tiger
8928958,name_type,Ct,tiger
8928958,reviewed,no,tiger
8929064,highway,residential,regular
8929064,name,Las Ondas Way,regular
8929064,sidewalk,both,regular
8929064,cfcc,A41,tiger
8929064,county,"Santa Clara, CA",tiger
8929064,name_base,Las Ondas,tiger
8929064,name_type,Way,tiger
8929143,highway,residential,regular
8929143,name,Conradia Court,regular
8929143,sidewalk,both,regular
8929143,cfcc,A41,tiger
8929143,county,"Santa Clara, CA",tiger
8929143,name_base,Conradia,tiger
8929143,name_type,Ct,tiger
8929143,reviewed,no,tiger
8929155,highway,residential,regular
8929155,name,Crespi Drive,regular
8929155,sidewalk,both,regular
8929155,cfcc,A41,tiger
8929155,county,"Santa Clara, CA",tiger
8929155,name_base,Crespi,tiger
8929155,name_type,Dr,tiger
8929155,reviewed,no,tiger
8929159,highway,residential,regular
8929159,name,Lindy Place,regular
8929159,sidewalk,none,regular
8929159,county,"Santa Clara, CA",tiger
8929162,highway,residential,regular
8929162,name,Tartarian Way,regular
8929162,county,"Santa Clara, CA",tiger
8929172,highway,residential,regular
8929172,name,Redwood Drive,regular
8929172,cfcc,A41,tiger
8929172,county,"Santa Clara, CA",tiger
8929172,name_base,Redwood,tiger
8929172,name_type,Dr,tiger
8929183,highway,residential,regular
8929183,name,Forest Glen Drive,regular
8929183,cfcc,A41,tiger
8929183,county,"Santa Clara, CA",tiger
8929183,name_base,Forest Glen,tiger
8929183,name_type,Dr,tiger
8929183,reviewed,no,tiger
8929230,highway,residential,regular
8929230,name,Wagman Drive,regular
8929230,cfcc,A41,tiger
8929230,county,"Santa Clara, CA",tiger
8929230,name_base,Wagman,tiger
8929230,name_type,Dr,tiger
8929230,reviewed,no,tiger
8929234,highway,residential,regular
8929234,name,Clarkston Avenue,regular
8929234,sidewalk,both,regular
8929234,cfcc,A41,tiger
8929234,county,"Santa Clara, CA",tiger
8929234,name_base,Clarkston,tiger
8929234,name_type,Ave,tiger
8929339,highway,unclassified,regular
8929339,name,Donington Drive,regular
8929339,cfcc,A41,tiger
8929339,county,"Santa Clara, CA",tiger
8929339,name_base,Donington,tiger
8929339,name_type,Dr,tiger
8929347,highway,residential,regular
8929347,lanes,2,regular
8929347,name,English Oak Way,regular
8929347,oneway,no,regular
8929347,sidewalk,right,regular
8929347,smoothness,good,regular
8929347,surface,asphalt,regular
8929347,cfcc,A41,tiger
8929347,county,"Santa Clara, CA",tiger
8929347,name_base,English Oak,tiger
8929347,name_type,Way,tiger
8929347,reviewed,no,tiger
8929366,highway,residential,regular
8929366,name,McKlintock Lane,regular
8929366,sidewalk,left,regular
8929499,highway,residential,regular
8929499,name,Wallace Drive,regular
8929499,sidewalk,none,regular
8929499,cfcc,A41,tiger
8929499,county,"Santa Clara, CA",tiger
8929499,name_base,Wallace,tiger
8929499,name_type,Dr,tiger
8929499,reviewed,no,tiger
8929589,highway,unclassified,regular
8929589,name,Clay Street,regular
8929589,sidewalk,both,regular
8929589,cfcc,A41,tiger
8929589,county,"Santa Clara, CA",tiger
8929589,name_base,Clay,tiger
8929589,name_type,St,tiger
8929598,highway,unclassified,regular
8929598,name,La Mar Drive,regular
8929598,sidewalk,both,regular
8929598,cfcc,A41,tiger
8929598,county,"Santa Clara, CA",tiger
8929598,name_base,La Mar,tiger
8929598,name_type,Dr,tiger
8929627,highway,residential,regular
8929627,name,Eden Drive,regular
8929627,cfcc,A41,tiger
8929627,county,"Santa Clara, CA",tiger
8929627,name_base,Eden,tiger
8929627,name_type,Dr,tiger
8929631,highway,residential,regular
8929631,name,La Herran Drive,regular
8929631,cfcc,A41,tiger
8929631,county,"Santa Clara, CA",tiger
8929631,name_base,La Herran,tiger
8929631,name_type,Dr,tiger
8929636,highway,residential,regular
8929636,name,Lily Court,regular
8929636,sidewalk,both,regular
8929636,cfcc,A41,tiger
8929636,county,"Santa Clara, CA",tiger
8929636,name_base,Lily,tiger
8929636,name_type,Ct,tiger
8929636,reviewed,no,tiger
8929680,highway,residential,regular
8929680,name,Bark Lane,regular
8929680,cfcc,A41,tiger
8929680,county,"Santa Clara, CA",tiger
8929680,name_base,Bark,tiger
8929680,name_type,Ln,tiger
8929710,highway,residential,regular
8929710,name,Friars Court,regular
8929710,sidewalk,none,regular
8929710,cfcc,A41,tiger
8929710,county,"Santa Clara, CA",tiger
8929710,name_base,Friars,tiger
8929710,name_type,Ct,tiger
8929731,highway,residential,regular
8929731,name,Willowgrove Lane,regular
8929731,sidewalk,both,regular
8929731,cfcc,A41,tiger
8929731,county,"Santa Clara, CA",tiger
8929731,name_base,Willowgrove,tiger
8929731,name_type,Ln,tiger
8929731,reviewed,no,tiger
8929767,highway,residential,regular
8929767,lanes,2,regular
8929767,name,Northwood Drive,regular
8929767,sidewalk,none,regular
8929767,surface,asphalt,regular
8929767,cfcc,A41,tiger
8929767,county,"Santa Clara, CA",tiger
8929767,name_base,Northwood,tiger
8929767,name_type,Dr,tiger
8929794,highway,residential,regular
8929794,name,Dawson Drive,regular
8929794,cfcc,A41,tiger
8929794,county,"Santa Clara, CA",tiger
8929794,name_base,Dawson; Sullivan,tiger
8929794,name_type,Dr,tiger
8929872,access,private,regular
8929872,highway,service,regular
8929872,lanes,2,regular
