id,user,uid,version,changeset,timestamp
8928427,oormilavinod,5438123,7,50082469,2017-07-06T11:26:09Z
8928429,chaemassey,5730954,5,52451319,2017-09-28T16:46:20Z
8928430,chaemassey,5730954,8,52453721,2017-09-28T18:10:47Z
8928467,shawntap,4991586,7,49534043,2017-06-14T16:15:59Z
8928479,Solorio_K,6126729,6,49404304,2017-06-09T18:14:16Z
8928486,chaemassey,5730954,5,52454431,2017-09-28T18:41:55Z
8928522,Patty_B,6369204,5,50565640,2017-07-25T17:54:42Z
8928554,Solorio_K,6126729,8,49381350,2017-06-08T22:08:53Z
8928597,Patty_B,6369204,6,50571220,2017-07-25T21:49:21Z
8928604,3vivekb_sjsidewalks_import,6686697,11,56776061,2018-03-01T05:51:10Z
8928612,Solorio_K,6126729,6,49895862,2017-06-28T16:08:41Z
8928655,TheDutchMan13,1330847,8,49346616,2017-06-07T19:55:31Z
8928691,doug_sfba,1796809,12,57276407,2018-03-17T21:10:05Z
8928693,Dana_Bringas,6022281,20,50569955,2017-07-25T20:48:42Z
8928694,Patty_B,6369204,6,50564673,2017-07-25T17:17:17Z
8928698,TheDutchMan13,1330847,9,49346616,2017-06-07T19:55:33Z
8928787,Solorio_K,6126729,7,50071209,2017-07-06T00:10:49Z
8928814,Dana_Bringas,6022281,26,49698450,2017-06-20T16:31:59Z
8928819,chaemassey,5730954,5,52449758,2017-09-28T16:11:38Z
8928856,3vivekb_sjsidewalks_import,6686697,10,56776061,2018-03-01T05:51:10Z
8928881,huonw,1211556,16,51214768,2017-08-17T19:40:36Z
8928882,Solorio_K,6126729,9,49511798,2017-06-13T20:51:50Z
8928940,TheDutchMan13,1330847,6,49346616,2017-06-07T19:55:38Z
8928943,Dana_Bringas,6022281,5,52494784,2017-09-29T21:30:06Z
8928958,chaemassey,5730954,7,49504675,2017-06-13T15:51:14Z
8929064,Solorio_K,6126729,15,49379869,2017-06-08T20:55:42Z
8929143,Dana_Bringas,6022281,6,50569877,2017-07-25T20:45:21Z
8929155,3vivekb_sjsidewalks_import,6686697,9,56710299,2018-02-27T05:10:55Z
8929159,doug_sfba,1796809,12,57276407,2018-03-17T21:10:05Z
8929162,3vivekb_sjsidewalks_import,6686697,10,56745139,2018-02-28T06:49:52Z
8929172,TheDutchMan13,1330847,8,49346616,2017-06-07T19:55:44Z
8929183,3vivekb_sjsidewalks_import,6686697,5,54109023,2017-11-27T01:17:57Z
8929230,3vivekb_sjsidewalks_import,6686697,5,54109023,2017-11-27T01:17:57Z
8929234,chaemassey,5730954,7,49569486,2017-06-15T17:18:02Z
8929339,3vivekb_sjsidewalks_import,6686697,7,56776061,2018-03-01T05:51:10Z
8929347,chaemassey,5730954,6,52451319,2017-09-28T16:46:20Z
8929366,Patty_B,6369204,5,50565472,2017-07-25T17:48:20Z
8929499,chaemassey,5730954,9,51378688,2017-08-23T15:09:43Z
8929589,Solorio_K,6126729,6,49895988,2017-06-28T16:12:43Z
8929598,TheDutchMan13,1330847,13,49346616,2017-06-07T19:55:51Z
8929627,TheDutchMan13,1330847,11,49346616,2017-06-07T19:55:52Z
8929631,TheDutchMan13,1330847,6,49346616,2017-06-07T19:55:52Z
8929636,Solorio_K,6126729,5,49381350,2017-06-08T22:08:54Z
8929680,3vivekb_sjsidewalks_import,6686697,8,56745588,2018-02-28T07:11:31Z
8929710,Dana_Bringas,6022281,5,52496040,2017-09-29T22:40:03Z
8929731,oormilavinod,5438123,6,50082469,2017-07-06T11:26:10Z
8929767,Dana_Bringas,6022281,12,52570638,2017-10-02T17:23:35Z
8929794,TheDutchMan13,1330847,7,49346616,2017-06-07T19:55:54Z
8929872,TheDutchMan13,1330847,11,49346616,2017-06-07T19:55:56Z
8929876,Solorio_K,6126729,5,49381049,2017-06-08T21:49:46Z
8929920,huonw,1211556,6,50956867,2017-08-08T23:33:31Z
8929948,chaemassey,5730954,10,51380300,2017-08-23T16:11:52Z
8930011,Solorio_K,6126729,5,49896153,2017-06-28T16:17:56Z
8930014,Solorio_K,6126729,7,50112464,2017-07-07T15:58:53Z
8930018,TheDutchMan13,1330847,11,49346616,2017-06-07T19:55:59Z
8930019,kahrens,1728285,11,62807069,2018-09-21T18:33:37Z
8930022,kahrens,1728285,9,62807069,2018-09-21T18:33:37Z
8930024,Solorio_K,6126729,8,50111719,2017-07-07T15:29:47Z
8930131,Solorio_K,6126729,6,49512920,2017-06-13T21:45:38Z
8930237,Solorio_K,6126729,5,50071450,2017-07-06T00:37:44Z
8930308,Solorio_K,6126729,10,49534140,2017-06-14T16:20:00Z
8930315,Solorio_K,6126729,5,50071369,2017-07-06T00:26:12Z
8930360,mueschel,616774,10,49743259,2017-06-22T10:47:01Z
8930369,Solorio_K,6126729,6,49512920,2017-06-13T21:45:38Z
8930459,chaemassey,5730954,4,51380179,2017-08-23T16:06:10Z
8930462,3vivekb_sjsidewalks_import,6686697,9,56745139,2018-02-28T06:49:52Z
8930531,TheDutchMan13,1330847,9,49346616,2017-06-07T19:56:05Z
8930609,Dana_Bringas,6022281,9,49698952,2017-06-20T16:57:04Z
8930668,Solorio_K,6126729,12,50111508,2017-07-07T15:22:38Z
8930693,Telecas,202256,7,41772488,2016-08-29T09:02:00Z
8930726,chaemassey,5730954,8,50728844,2017-07-31T17:36:26Z
8930752,Dana_Bringas,6022281,31,50569877,2017-07-25T20:45:21Z
8930758,chaemassey,5730954,5,49505246,2017-06-13T16:07:43Z
8930768,kahrens,1728285,13,62806863,2018-09-21T18:25:18Z
8930952,Patty_B,6369204,5,50564917,2017-07-25T17:28:22Z
8931199,TheDutchMan13,1330847,4,49346616,2017-06-07T19:56:12Z
8931230,TheDutchMan13,1330847,4,49346616,2017-06-07T19:56:13Z
8931250,Solorio_K,6126729,8,49758302,2017-06-22T22:39:50Z
8931304,Patty_B,6369204,8,50570535,2017-07-25T21:15:28Z
8931353,Patty_B,6369204,7,50566300,2017-07-25T18:21:58Z
8931354,Patty_B,6369204,13,50566236,2017-07-25T18:19:03Z
8931362,Dana_Bringas,6022281,5,50569955,2017-07-25T20:48:42Z
8931364,Aleks-Berlin,85218,6,49368628,2017-06-08T13:50:49Z
8931366,huonw,1211556,14,50959696,2017-08-09T04:34:21Z
8931439,advanced_skill,3584691,11,58262266,2018-04-20T12:02:41Z
8931455,TheDutchMan13,1330847,5,49346616,2017-06-07T19:56:16Z
8931491,chaemassey,5730954,10,49502766,2017-06-13T14:48:53Z
8931521,Solorio_K,6126729,5,49896766,2017-06-28T16:42:16Z
8931552,doug_sfba,1796809,9,58773986,2018-05-08T01:13:12Z
8931583,Solorio_K,6126729,6,50112464,2017-07-07T15:58:55Z
8931610,3vivekb_sjsidewalks_import,6686697,5,56745139,2018-02-28T06:49:53Z
8931728,chaemassey,5730954,7,49569957,2017-06-15T17:39:07Z
8931730,chaemassey,5730954,4,49569957,2017-06-15T17:39:07Z
8931741,kahrens,1728285,11,56205524,2018-02-09T04:39:36Z
8931835,Solorio_K,6126729,14,50071450,2017-07-06T00:37:44Z
8931846,Solorio_K,6126729,4,49896153,2017-06-28T16:17:56Z
8931885,Solorio_K,6126729,5,49758451,2017-06-22T22:54:46Z
8931909,Solorio_K,6126729,5,49758161,2017-06-22T22:27:24Z
8932030,Dana_Bringas,6022281,5,50569877,2017-07-25T20:45:21Z
8932057,TheDutchMan13,1330847,7,49346616,2017-06-07T19:56:26Z
8932058,TheDutchMan13,1330847,7,49346616,2017-06-07T19:56:26Z
8932067,chaemassey,5730954,5,52449758,2017-09-28T16:11:38Z
8932096,ekkakkas,8476260,16,62665246,2018-09-17T13:25:46Z
8932121,Solorio_K,6126729,6,49534140,2017-06-14T16:20:00Z
8932124,Solorio_K,6126729,7,50071125,2017-07-06T00:00:16Z
8932272,kahrens,1728285,7,56205524,2018-02-09T04:39:36Z
8932353,Solorio_K,6126729,8,49512528,2017-06-13T21:26:03Z
8932427,TheDutchMan13,1330847,5,49346616,2017-06-07T19:56:30Z
8932432,ped3strian,5500126,5,60055188,2018-06-21T20:08:53Z
8932433,3vivekb_sjsidewalks_import,6686697,8,56776680,2018-03-01T06:21:22Z
8932476,3vivekb_sjsidewalks_import,6686697,11,56745588,2018-02-28T07:11:32Z
8932483,Solorio_K,6126729,4,49483572,2017-06-12T22:18:28Z
8932565,kahrens,1728285,13,62807243,2018-09-21T18:41:06Z
8932625,Solorio_K,6126729,7,49896470,2017-06-28T16:28:12Z
8932651,Solorio_K,6126729,8,50111719,2017-07-07T15:29:47Z
8932679,Solorio_K,6126729,10,50071162,2017-07-06T00:05:30Z
8932680,Telecas,202256,12,59418662,2018-05-31T06:55:54Z
8932682,Solorio_K,6126729,5,50071369,2017-07-06T00:26:11Z
8932695,kahrens,1728285,14,62621215,2018-09-15T20:18:51Z
8932709,kahrens_sjsidewalks_import,7670510,10,56807637,2018-03-02T04:45:27Z
8932737,chaemassey,5730954,7,51378082,2017-08-23T14:49:33Z
8932777,chaemassey,5730954,5,52454790,2017-09-28T18:55:03Z
8932875,3vivekb_sjsidewalks_import,6686697,5,56745588,2018-02-28T07:11:32Z
8932915,3vivekb_sjsidewalks_import,6686697,12,56745139,2018-02-28T06:49:53Z
8933023,Luis36995,1829683,7,49509977,2017-06-13T19:30:39Z
8933065,TheDutchMan13,1330847,4,49346616,2017-06-07T19:56:44Z
8933206,3vivekb_sjsidewalks_import,6686697,7,56776680,2018-03-01T06:21:22Z
8933276,chaemassey,5730954,6,52454007,2017-09-28T18:23:15Z
8933288,3vivekb_sjsidewalks_import,6686697,6,56776680,2018-03-01T06:21:23Z
8933311,Solorio_K,6126729,9,50111719,2017-07-07T15:29:46Z
8933312,dieterdreist,26139,8,62303769,2018-09-05T08:44:13Z
8933361,Solorio_K,6126729,3,50111508,2017-07-07T15:22:39Z
8933373,Solorio_K,6126729,6,49896864,2017-06-28T16:47:15Z
8933380,Elena Williams01,6426435,5,50821639,2017-08-03T22:08:08Z
8933406,chaemassey,5730954,17,51378066,2017-08-23T14:49:10Z
8933549,chaemassey,5730954,7,49569454,2017-06-15T17:16:01Z
8933597,Solorio_K,6126729,17,49758161,2017-06-22T22:27:24Z
8933623,Dana_Bringas,6022281,5,50570895,2017-07-25T21:32:05Z
8933723,huonw,1211556,16,51240001,2017-08-18T18:06:02Z
8933725,Solorio_K,6126729,5,49483772,2017-06-12T22:22:35Z
8934012,Solorio_K,6126729,9,50071302,2017-07-06T00:19:17Z
8934037,ekkakkas,8476260,17,62723137,2018-09-19T09:25:40Z
8934063,TheDutchMan13,1330847,3,49346616,2017-06-07T19:57:01Z
8934098,TheDutchMan13,1330847,6,49346616,2017-06-07T19:57:02Z
8934111,chaemassey,5730954,21,49921713,2017-06-29T15:00:34Z
8934132,Solorio_K,6126729,15,50111508,2017-07-07T15:22:38Z
8934150,chaemassey,5730954,11,50728489,2017-07-31T17:21:24Z
8934154,Solorio_K,6126729,7,49775295,2017-06-23T16:18:54Z
8934217,Solorio_K,6126729,7,50112464,2017-07-07T15:58:50Z
8934236,Luke W,6699064,5,52316494,2017-09-23T22:52:03Z
8934253,Solorio_K,6126729,7,49381350,2017-06-08T22:08:53Z
8934263,dieterdreist,26139,9,62303678,2018-09-05T08:41:05Z
8934288,TheDutchMan13,1330847,4,49346616,2017-06-07T19:57:05Z
8934329,Solorio_K,6126729,5,49379869,2017-06-08T20:55:42Z
8934476,TheDutchMan13,1330847,4,49346616,2017-06-07T19:57:08Z
8934482,3vivekb_sjsidewalks_import,6686697,9,52429725,2017-09-28T02:20:23Z
8934485,Solorio_K,6126729,6,49534257,2017-06-14T16:24:37Z
8934488,chaemassey,5730954,5,49504609,2017-06-13T15:49:04Z
8934516,Dana_Bringas,6022281,7,52495890,2017-09-29T22:26:20Z
8934605,chaemassey,5730954,7,50237992,2017-07-12T18:47:49Z
8934707,kahrens,1728285,12,62807069,2018-09-21T18:33:38Z
8934734,Solorio_K,6126729,6,49534415,2017-06-14T16:31:20Z
8934736,TheDutchMan13,1330847,5,49346616,2017-06-07T19:57:12Z
